iter	Logloss
0	0.6410396177
1	0.6144784901
2	0.579808047
3	0.5640782594
4	0.5417569324
5	0.5330724616
6	0.5122990929
7	0.4947928167
8	0.472981867
9	0.4532497225
10	0.447333343
11	0.4343175557
12	0.4146430206
13	0.4089705751
14	0.3967842147
15	0.3898781911
16	0.3824989568
17	0.375918984
18	0.3661444467
19	0.3603296339
20	0.3545087923
21	0.3510478735
22	0.3463807727
23	0.3432053058
24	0.3374999072
25	0.3331843671
26	0.3277936598
27	0.3204810376
28	0.3141352657
29	0.3081511012
30	0.3050988035
31	0.2999827092
32	0.2979728354
33	0.2937501012
34	0.2868492375
35	0.2849528064
36	0.2771916233
37	0.2747269424
38	0.2680530209
39	0.2629031222
40	0.2580146191
41	0.2563337715
42	0.2545527477
43	0.2540281348
44	0.251475615
45	0.2492483352
46	0.2466950971
47	0.2445985714
48	0.2438537577
49	0.2435286844
50	0.2432146649
51	0.2419294836
52	0.2410273363
53	0.2401399915
54	0.2392445561
55	0.2378688527
56	0.2373583473
57	0.2366672289
58	0.2364043597
59	0.2352642481
60	0.2327608455
61	0.2321205623
62	0.2306083842
63	0.2299283539
64	0.2297025277
65	0.2290598688
66	0.2280396257
67	0.2267041582
68	0.2257582185
69	0.2252573288
70	0.2251198953
71	0.2246443015
72	0.2244559592
73	0.2234759532
74	0.2224725934
75	0.2223293419
76	0.2217077065
77	0.2212111644
78	0.2208116053
79	0.2202654443
80	0.220150246
81	0.2199735984
82	0.21964446
83	0.2193983255
84	0.2192954265
85	0.2182118416
86	0.2176186746
87	0.2175143963
88	0.2172123968
89	0.2171166755
90	0.2170282359
91	0.2169028676
92	0.2167132516
93	0.216644408
94	0.2165272934
95	0.2160341554
96	0.2157592322
97	0.2156705102
98	0.215584084
99	0.2152833772
100	0.2147363904
101	0.2146225727
102	0.2145424262
103	0.2144701782
104	0.2142028012
105	0.2137099288
106	0.2136188027
107	0.2131762833
108	0.2126397326
109	0.2125947303
110	0.2125134396
111	0.2124100625
112	0.2114229732
113	0.2108982182
114	0.2106912067
115	0.2104824357
116	0.2098082043
117	0.2097151693
118	0.209529202
119	0.2091387287
120	0.2090348844
121	0.2086593239
122	0.2085823587
123	0.2085019831
124	0.2080896045
125	0.2078216734
126	0.2077183773
127	0.2076443853
128	0.2072538912
129	0.2069017025
130	0.2066013649
131	0.2065230359
132	0.2064414903
133	0.2063184175
134	0.2058187102
135	0.2057357216
136	0.2056616869
137	0.205615031
138	0.2055018126
139	0.205430201
140	0.2053478605
141	0.2052456867
142	0.2051785495
143	0.2048304691
144	0.204694144
145	0.2043842097
146	0.2042899455
147	0.2042384245
148	0.2041758546
149	0.2041200407
150	0.2039376516
151	0.2038682234
152	0.2038001614
153	0.2037283139
154	0.2035012757
155	0.2034456479
156	0.2033637972
157	0.2031866617
158	0.2030684949
159	0.2028360341
160	0.2027762087
161	0.2026212675
162	0.2025554045
163	0.2024939168
164	0.2024326192
165	0.2023677165
166	0.2019311487
167	0.201605062
168	0.2015504555
169	0.2014994605
170	0.2014295816
171	0.2013676047
172	0.2013132013
173	0.2012435276
174	0.2011805183
175	0.201110433
176	0.200873745
177	0.2004165115
178	0.2003591197
179	0.2001937305
180	0.2001531759
181	0.20012191
182	0.1999071882
183	0.1998537277
184	0.1997995709
185	0.199557347
186	0.1995024358
187	0.1993453321
188	0.199313505
189	0.199265796
190	0.1992128274
191	0.1991556381
192	0.1989945047
193	0.1987943249
194	0.1981463659
195	0.198094823
196	0.1978244445
197	0.1977820556
198	0.1977382674
199	0.1976931689
200	0.1976313904
201	0.1974145378
202	0.1972173273
203	0.1971716598
204	0.1971243325
205	0.1970993894
206	0.1969223835
207	0.1968837092
208	0.1968395445
209	0.1968026004
210	0.1967689649
211	0.1967439955
212	0.19669792
213	0.1965619648
214	0.1965170134
215	0.1964672527
216	0.1964289875
217	0.1963804429
218	0.1963447354
219	0.1963004272
220	0.1962508374
221	0.1962147623
222	0.1959359594
223	0.1958917319
224	0.1958395715
225	0.1957827029
226	0.1957387254
227	0.1955970947
228	0.195328882
229	0.1952900857
230	0.1952274154
231	0.1951729365
232	0.1951295036
233	0.195101992
234	0.1950636446
235	0.1950248844
236	0.1949966317
237	0.1949664415
238	0.1949081281
239	0.1948626005
240	0.1948309878
241	0.1947850505
242	0.1947486945
243	0.1946885631
244	0.1946544651
245	0.1946170089
246	0.1945728131
247	0.1945458694
248	0.194501518
249	0.1944441015
250	0.1944051489
251	0.1943582354
252	0.1943154069
253	0.1942626601
254	0.1942273485
255	0.194196508
256	0.1941056528
257	0.1940680162
258	0.1940108939
259	0.1939678267
260	0.1939132245
261	0.1938918736
262	0.1938558274
263	0.1938094142
264	0.1937688884
265	0.193731934
266	0.1936804363
267	0.1936263747
268	0.1935841511
269	0.1935392595
270	0.1934845714
271	0.1933238182
272	0.1932764734
273	0.1932307674
274	0.1931182118
275	0.1930774234
276	0.1930345832
277	0.1929991304
278	0.192943753
279	0.1929033348
280	0.1928303433
281	0.1927944881
282	0.1927631011
283	0.1927177493
284	0.1926742379
285	0.1926412225
286	0.192601555
287	0.1925591925
288	0.1925250193
289	0.1924752061
290	0.1924555419
291	0.1923714313
292	0.192340509
293	0.1922915368
294	0.1922148264
295	0.192194992
296	0.1921672647
297	0.1921260327
298	0.1919630425
299	0.1919349972
