iter	Passed	Remaining
0	12	9827
1	21	8540
2	29	7916
3	40	7992
4	50	8065
5	59	7928
6	68	7721
7	77	7671
8	86	7564
9	95	7520
10	104	7497
11	113	7425
12	121	7374
13	131	7361
14	139	7313
15	151	7405
16	160	7385
17	170	7427
18	179	7398
19	188	7349
20	196	7290
21	204	7240
22	212	7166
23	219	7096
24	226	7017
25	233	6961
26	241	6921
27	249	6873
28	256	6829
29	264	6777
30	271	6736
31	278	6690
32	286	6661
33	293	6604
34	300	6570
35	309	6558
36	317	6540
37	325	6533
38	335	6556
39	345	6562
40	355	6584
41	364	6580
42	372	6558
43	379	6525
44	386	6490
45	394	6466
46	402	6446
47	409	6416
48	416	6381
49	424	6361
50	431	6335
51	438	6310
52	446	6286
53	454	6279
54	461	6251
55	468	6229
56	477	6225
57	489	6261
58	500	6288
59	510	6295
60	520	6304
61	529	6308
62	538	6294
63	548	6302
64	558	6311
65	567	6307
66	577	6313
67	586	6313
68	594	6302
69	603	6296
70	612	6289
71	622	6289
72	631	6287
73	639	6277
74	649	6282
75	659	6284
76	668	6274
77	675	6251
78	682	6228
79	689	6208
80	697	6191
81	705	6173
82	713	6160
83	720	6144
84	728	6129
85	736	6116
86	745	6108
87	754	6101
88	762	6094
89	771	6087
90	780	6081
91	787	6062
92	796	6051
93	803	6035
94	811	6022
95	819	6011
96	827	5997
97	835	5983
98	843	5970
99	853	5971
100	861	5962
101	869	5952
102	878	5943
103	886	5934
104	895	5925
105	903	5913
106	910	5899
107	918	5886
108	927	5876
109	937	5879
110	947	5882
111	958	5890
112	968	5891
113	978	5888
114	987	5880
115	996	5874
116	1006	5873
117	1015	5870
118	1024	5864
119	1034	5863
120	1043	5857
121	1052	5850
122	1062	5846
123	1071	5840
124	1080	5834
125	1090	5832
126	1100	5832
127	1109	5825
128	1120	5827
129	1129	5823
130	1139	5818
131	1150	5821
132	1159	5813
133	1167	5803
134	1176	5793
135	1185	5787
136	1192	5773
137	1200	5759
138	1207	5742
139	1215	5730
140	1223	5716
141	1230	5703
142	1239	5692
143	1247	5683
144	1255	5670
145	1262	5654
146	1270	5644
147	1277	5627
148	1284	5610
149	1291	5594
150	1298	5582
151	1305	5566
152	1312	5550
153	1319	5533
154	1327	5524
155	1334	5508
156	1341	5494
157	1349	5481
158	1356	5467
159	1362	5450
160	1370	5438
161	1376	5422
162	1383	5407
163	1390	5393
164	1399	5386
165	1406	5373
166	1414	5359
167	1421	5348
168	1428	5333
169	1435	5320
170	1442	5306
171	1450	5297
172	1458	5284
173	1466	5277
174	1476	5272
175	1484	5263
176	1491	5250
177	1501	5245
178	1510	5238
179	1519	5233
180	1529	5230
181	1538	5223
182	1548	5221
183	1558	5216
184	1566	5206
185	1574	5198
186	1584	5194
187	1593	5186
188	1602	5179
189	1610	5171
190	1620	5165
191	1629	5158
192	1638	5153
193	1649	5152
194	1658	5144
195	1666	5135
196	1674	5126
197	1684	5120
198	1693	5113
199	1701	5103
200	1710	5096
201	1717	5085
202	1726	5078
203	1736	5073
204	1745	5065
205	1755	5063
206	1764	5054
207	1773	5046
208	1781	5039
209	1791	5032
210	1800	5025
211	1809	5018
212	1818	5012
213	1827	5003
214	1836	4996
215	1845	4990
216	1855	4983
217	1864	4976
218	1873	4969
219	1882	4962
220	1890	4954
221	1900	4947
222	1909	4941
223	1919	4935
224	1927	4925
225	1935	4915
226	1942	4904
227	1950	4893
228	1958	4882
229	1966	4872
230	1973	4861
231	1980	4849
232	1988	4838
233	1995	4827
234	2002	4815
235	2009	4802
236	2017	4791
237	2023	4779
238	2031	4767
239	2039	4757
240	2046	4747
241	2054	4736
242	2062	4726
243	2070	4717
244	2077	4706
245	2084	4694
246	2091	4683
247	2099	4672
248	2106	4661
249	2113	4650
250	2120	4639
251	2127	4627
252	2134	4615
253	2141	4604
254	2149	4594
255	2156	4582
256	2163	4571
257	2171	4560
258	2179	4552
259	2187	4542
260	2196	4535
261	2203	4524
262	2210	4514
263	2218	4504
264	2226	4494
265	2234	4485
266	2242	4475
267	2250	4467
268	2259	4459
269	2267	4451
270	2276	4443
271	2283	4432
272	2291	4423
273	2299	4415
274	2307	4406
275	2316	4397
276	2323	4387
277	2332	4379
278	2341	4372
279	2350	4365
280	2359	4357
281	2368	4349
282	2376	4340
283	2386	4336
284	2398	4334
285	2407	4327
286	2417	4320
287	2427	4315
288	2435	4306
289	2444	4299
290	2453	4291
291	2462	4283
292	2471	4276
293	2479	4268
294	2488	4260
295	2498	4253
296	2507	4246
297	2516	4238
298	2524	4229
299	2533	4223
300	2542	4214
301	2551	4207
302	2560	4200
303	2571	4196
304	2582	4190
305	2592	4185
306	2606	4186
307	2618	4182
308	2627	4174
309	2636	4167
310	2647	4162
311	2656	4154
312	2664	4146
313	2673	4137
314	2683	4131
315	2691	4122
316	2700	4114
317	2710	4107
318	2718	4099
319	2728	4092
320	2736	4084
321	2746	4076
322	2755	4069
323	2764	4061
324	2773	4053
325	2782	4045
326	2792	4039
327	2801	4031
328	2809	4022
329	2818	4013
330	2826	4005
331	2837	4000
332	2846	3991
333	2853	3981
334	2862	3973
335	2871	3965
336	2880	3957
337	2890	3950
338	2898	3941
339	2907	3933
340	2917	3927
341	2926	3918
342	2936	3912
343	2946	3905
344	2955	3898
345	2964	3889
346	2973	3881
347	2982	3873
348	2991	3865
349	3000	3857
350	3009	3849
351	3018	3841
352	3028	3834
353	3038	3828
354	3048	3821
355	3057	3813
356	3067	3806
357	3076	3797
358	3085	3789
359	3094	3781
360	3102	3773
361	3112	3765
362	3121	3757
363	3130	3749
364	3139	3741
365	3147	3732
366	3155	3722
367	3162	3712
368	3169	3702
369	3177	3693
370	3184	3682
371	3192	3672
372	3199	3662
373	3207	3653
374	3214	3643
375	3223	3634
376	3230	3624
377	3238	3615
378	3247	3607
379	3255	3598
380	3264	3589
381	3271	3579
382	3279	3570
383	3287	3561
384	3295	3551
385	3302	3542
386	3310	3533
387	3319	3524
388	3326	3514
389	3333	3504
390	3341	3495
391	3348	3485
392	3357	3476
393	3364	3467
394	3371	3457
395	3379	3447
396	3387	3438
397	3394	3428
398	3402	3419
399	3409	3409
400	3416	3399
401	3424	3390
402	3431	3380
403	3439	3370
404	3446	3361
405	3454	3352
406	3461	3342
407	3468	3332
408	3475	3322
409	3482	3312
410	3490	3303
411	3498	3294
412	3505	3285
413	3513	3275
414	3520	3265
415	3527	3256
416	3535	3247
417	3543	3238
418	3550	3228
419	3558	3219
420	3566	3210
421	3573	3201
422	3580	3191
423	3588	3181
424	3595	3172
425	3602	3162
426	3610	3153
427	3616	3143
428	3624	3134
429	3631	3125
430	3639	3115
431	3646	3106
432	3654	3097
433	3663	3089
434	3670	3080
435	3678	3070
436	3686	3061
437	3695	3053
438	3708	3049
439	3719	3043
440	3729	3036
441	3744	3033
442	3756	3027
443	3770	3023
444	3787	3021
445	3802	3017
446	3812	3010
447	3824	3004
448	3842	3003
449	3852	2996
450	3862	2989
451	3871	2980
452	3880	2972
453	3892	2966
454	3901	2958
455	3910	2949
456	3920	2942
457	3929	2933
458	3941	2927
459	3951	2920
460	3962	2913
461	3971	2905
462	3981	2898
463	3991	2890
464	4001	2882
465	4017	2879
466	4029	2873
467	4040	2866
468	4049	2857
469	4059	2850
470	4068	2841
471	4082	2836
472	4092	2829
473	4099	2819
474	4107	2810
475	4115	2801
476	4124	2792
477	4132	2783
478	4140	2774
479	4148	2765
480	4155	2756
481	4163	2746
482	4171	2737
483	4178	2728
484	4186	2718
485	4194	2710
486	4201	2700
487	4209	2691
488	4216	2681
489	4223	2671
490	4230	2662
491	4238	2653
492	4245	2644
493	4253	2634
494	4260	2625
495	4268	2616
496	4275	2606
497	4283	2597
498	4291	2588
499	4299	2579
500	4306	2570
501	4314	2561
502	4321	2551
503	4329	2542
504	4337	2533
505	4344	2524
506	4352	2515
507	4360	2506
508	4368	2497
509	4375	2487
510	4383	2479
511	4391	2470
512	4399	2461
513	4406	2451
514	4414	2443
