Feature,Importance,Rank
number_inpatient,0.165663634328922,1
time_in_hospital,0.09227414041104362,2
metformin,0.042107730745528975,3
admission_source_id_7,0.04038843997959747,4
medical_specialty_Unknown,0.03972725447606702,5
number_diagnoses,0.03962342938051919,6
age,0.03863044131264786,7
race_Caucasian,0.036940393492939115,8
diag_1_Circulatory,0.033266218377432974,9
discharge_disposition_id_22,0.03219864288165131,10
diag_2_Circulatory,0.031281707229284826,11
discharge_disposition_id_3,0.030141077595668836,12
number_emergency,0.02946117770890315,13
num_procedures,0.028858328444024663,14
num_medications,0.021278805979443045,15
number_outpatient,0.020839773386128038,16
diag_3_Circulatory,0.0197833283905254,17
gender_Male,0.018424904497497133,18
rosiglitazone,0.01812413418211297,19
pioglitazone,0.01794263022505237,20
diag_1_Endocrine,0.013464424899169316,21
payer_code_Unknown,0.012914854517028469,22
diag_2_Endocrine,0.012356022387422314,23
diag_3_Endocrine,0.01161188951843698,24
payer_code_MC,0.010778233195002922,25
medical_specialty_InternalMedicine,0.00871398451975984,26
glyburide,0.008394565292334566,27
discharge_disposition_id_6,0.008085500692244894,28
discharge_disposition_id_11,0.00803780238086149,29
glimepiride,0.007481489446664439,30
medical_specialty_Family/GeneralPractice,0.00747620111866511,31
glipizide,0.007469535368643545,32
diag_3_Genitourinary,0.0056462246048228385,33
admission_type_id_3,0.005205104667030916,34
diag_3_Respiratory,0.005144945637140461,35
num_lab_procedures,0.00505841097876534,36
diag_2_Genitourinary,0.004397826170981501,37
diag_2_Respiratory,0.004294591786406808,38
diag_1_Digestive,0.004105631926149958,39
diag_1_Respiratory,0.0037575273294210222,40
discharge_disposition_id_5,0.0034834962121641604,41
medical_specialty_Emergency/Trauma,0.002854200150219017,42
diag_3_Symptoms_Signs,0.0023541679590407573,43
diag_2_Skin,0.0021181767287159277,44
admission_type_id_2,0.001996603157684065,45
discharge_disposition_id_Unknown,0.0018925689105059038,46
diag_1_Injury_Poisoning,0.0018532065968572208,47
medical_specialty_Nephrology,0.0018357224672771967,48
diag_2_Neoplasms,0.0016970771732225621,49
diag_2_Digestive,0.0016635459532792825,50
discharge_disposition_id_2,0.001563053408245915,51
diag_3_Digestive,0.0014946082100594535,52
payer_code_HM,0.0011240722053897023,53
diag_1_Genitourinary,0.001056621625703684,54
change,0.0010442217009608507,55
diag_3_Skin,0.0010014695573530223,56
diag_2_Symptoms_Signs,0.0009356158370849113,57
medical_specialty_Surgery-General,0.0009042573399054071,58
medical_specialty_Cardiology,0.0008802737824094605,59
diag_1_Symptoms_Signs,0.0007818902614667916,60
payer_code_MD,0.0007122725259028122,61
repaglinide,0.0007089216554758192,62
diag_1_Musculoskeletal,0.0006563621116173475,63
diag_3_Neoplasms,0.0006227569845776475,64
payer_code_SP,0.0006074505389402658,65
diag_1_Supplementary,0.0006054322781877814,66
insulin,0.0005962628785912484,67
diag_2_Mental,0.0005941338574965472,68
diag_3_Supplementary,0.0005650423331482902,69
diag_2_Injury_Poisoning,0.0005158755954326823,70
diag_3_Mental,0.0004823757737278801,71
race_Hispanic,0.0004794755817505341,72
diag_1_Skin,0.00045076151994029393,73
diag_3_Nervous_System,0.0004503088315560048,74
diag_3_Injury_Poisoning,0.0003799362980450852,75
diag_2_Nervous_System,0.00036108354460797335,76
admission_type_id_Unknown,0.000354159630238167,77
glyburide-metformin,0.00034442906760861537,78
medical_specialty_Orthopedics,0.000322675713751768,79
diag_2_Infectious_Parasitic,0.00027209046107684864,80
payer_code_CM,0.00025147566039236745,81
diag_1_Infectious_Parasitic,0.00024283016993735217,82
nateglinide,0.00023372908198237465,83
admission_source_id_Unknown,0.00023085262254866898,84
discharge_disposition_id_28,0.00022979314001137185,85
payer_code_CP,0.0002291084028039345,86
race_Other,0.0002145626717565562,87
diag_2_Supplementary,0.0002045352364269849,88
diag_1_Neoplasms,0.00020300353523796432,89
diabetesMed,0.0001935545536720731,90
medical_specialty_Oncology,0.00019171360456789551,91
diag_2_Pregnancy_Childbirth,0.00016587726893306493,92
medical_specialty_Radiologist,0.00016428441210257445,93
diag_1_Mental,0.00015405907969322151,94
admission_source_id_4,0.0001498662757273502,95
diag_1_Pregnancy_Childbirth,0.00014250513858203736,96
diag_3_Musculoskeletal,0.00013982979950142094,97
payer_code_OG,0.00013889160043559806,98
admission_source_id_6,0.00013187744462657508,99
diag_3_Infectious_Parasitic,0.00012041962569253552,100
medical_specialty_Hematology,0.00011017348749035549,101
diag_2_External_Causes,0.00010981509230572539,102
discharge_disposition_id_15,0.00010668372375599807,103
medical_specialty_Urology,0.00010191359885983058,104
discharge_disposition_id_7,0.00010179260739125698,105
payer_code_DM,0.00010020857314203278,106
diag_1_Nervous_System,9.93721446248522e-05,107
diag_2_Musculoskeletal,9.511265553463613e-05,108
medical_specialty_Surgery-Vascular,8.845997227967046e-05,109
medical_specialty_Psychiatry,7.707285120022369e-05,110
diag_3_Unknown,7.545988477389462e-05,111
medical_specialty_Gastroenterology,7.45006570258529e-05,112
payer_code_UN,7.407741059237805e-05,113
medical_specialty_Surgery-Cardiovascular/Thoracic,7.378575605163829e-05,114
admission_source_id_5,7.057764358536134e-05,115
medical_specialty_Hematology/Oncology,6.525930223966055e-05,116
admission_source_id_3,5.640851941488611e-05,117
medical_specialty_ObstetricsandGynecology,5.334777533132691e-05,118
diag_3_External_Causes,5.145446486168294e-05,119
diag_3_Pregnancy_Childbirth,4.893202423844341e-05,120
discharge_disposition_id_4,4.405229194976356e-05,121
medical_specialty_Orthopedics-Reconstructive,3.944601404464333e-05,122
medical_specialty_Pulmonology,3.9399638723291996e-05,123
diag_2_Unknown,3.177725584727882e-05,124
medical_specialty_Podiatry,3.166754435201509e-05,125
medical_specialty_Pediatrics,3.0731160249334155e-05,126
race_Asian,2.953432907764344e-05,127
medical_specialty_Pediatrics-Endocrinology,2.9084763236369205e-05,128
diag_3_Congenital,2.7974881894365582e-05,129
admission_source_id_2,2.6053719398528107e-05,130
discharge_disposition_id_8,2.1171933749243105e-05,131
payer_code_PO,2.033369235163146e-05,132
medical_specialty_Anesthesiology,1.9634425544034677e-05,133
medical_specialty_PhysicalMedicineandRehabilitation,1.9418395939772762e-05,134
medical_specialty_Neurology,1.7729013677769288e-05,135
acarbose,1.726426803739851e-05,136
medical_specialty_Surgery-Cardiovascular,1.7247140665072044e-05,137
medical_specialty_Endocrinology,1.4996713522407877e-05,138
medical_specialty_Radiology,1.4629053063562603e-05,139
discharge_disposition_id_9,1.3694772471355336e-05,140
diag_2_Congenital,1.3685963619135622e-05,141
diag_1_Congenital,1.2978382086763613e-05,142
medical_specialty_Pediatrics-CriticalCare,1.2236519813062499e-05,143
medical_specialty_Surgery-Neuro,1.2006634655457397e-05,144
discharge_disposition_id_14,1.0992650373280585e-05,145
medical_specialty_Hospitalist,1.0739940685466942e-05,146
payer_code_SI,1.0549012829928389e-05,147
medical_specialty_Otolaryngology,1.0111678291426558e-05,148
chlorpropamide,8.443312169813691e-06,149
payer_code_CH,7.887058420334994e-06,150
discharge_disposition_id_23,7.71625499003655e-06,151
diag_1_Unknown,7.704868414714477e-06,152
medical_specialty_Psychology,7.567208653054021e-06,153
medical_specialty_Cardiology-Pediatric,5.201859536482056e-06,154
admission_type_id_7,4.869393758801981e-06,155
payer_code_MP,4.2451189353766976e-06,156
medical_specialty_Rheumatology,3.4356889015795487e-06,157
medical_specialty_Surgeon,2.728138557517589e-06,158
discharge_disposition_id_16,2.6552672166177397e-06,159
medical_specialty_InfectiousDiseases,2.097502217144823e-06,160
payer_code_WC,1.493705033630044e-06,161
medical_specialty_Surgery-Thoracic,1.9482551660787305e-08,162
medical_specialty_Pediatrics-Pulmonology,0.0,163
metformin-rosiglitazone,0.0,164
admission_source_id_14,0.0,165
medical_specialty_Endocrinology-Metabolism,0.0,166
admission_source_id_22,0.0,167
admission_source_id_25,0.0,168
medical_specialty_Dentistry,0.0,169
medical_specialty_DCPTEAM,0.0,170
medical_specialty_Surgery-Pediatric,0.0,171
medical_specialty_Anesthesiology-Pediatric,0.0,172
gender_Unknown/Invalid,0.0,173
admission_source_id_8,0.0,174
metformin-pioglitazone,0.0,175
medical_specialty_Surgery-Plastic,0.0,176
glimepiride-pioglitazone,0.0,177
medical_specialty_Gynecology,0.0,178
glipizide-metformin,0.0,179
citoglipton,0.0,180
examide,0.0,181
tolazamide,0.0,182
medical_specialty_Surgery-PlasticwithinHeadandNeck,0.0,183
troglitazone,0.0,184
payer_code_OT,0.0,185
miglitol,0.0,186
tolbutamide,0.0,187
acetohexamide,0.0,188
medical_specialty_SurgicalSpecialty,0.0,189
admission_source_id_10,0.0,190
medical_specialty_Surgery-Maxillofacial,0.0,191
medical_specialty_Pediatrics-Neurology,0.0,192
discharge_disposition_id_17,0.0,193
