Feature,Importance,Rank
number_inpatient,0.165663634328922,1
time_in_hospital,0.09227414041104362,2
metformin,0.042107730745528975,3
admission_source_id_7,0.04038843997959747,4
medical_specialty_Unknown,0.03972725447606702,5
number_diagnoses,0.03962342938051919,6
age,0.03863044131264786,7
race_Caucasian,0.036940393492939115,8
diag_1_Circulatory,0.033266218377432974,9
discharge_disposition_id_22,0.03219864288165131,10
diag_2_Circulatory,0.031281707229284826,11
discharge_disposition_id_3,0.030141077595668836,12
number_emergency,0.02946117770890315,13
num_procedures,0.028858328444024663,14
num_medications,0.021278805979443045,15
number_outpatient,0.020839773386128038,16
diag_3_Circulatory,0.0197833283905254,17
gender_Male,0.018424904497497133,18
rosiglitazone,0.01812413418211297,19
pioglitazone,0.01794263022505237,20
